page,text,images,details
61,,['images/page_61_image_1.jpeg'],"{'page': 61, 'text': '', 'text_available': False, 'image_count': 1}"
62,,['images/page_62_image_1.jpeg'],"{'page': 62, 'text': '', 'text_available': False, 'image_count': 1}"
63,,['images/page_63_image_1.jpeg'],"{'page': 63, 'text': '', 'text_available': False, 'image_count': 1}"
64,,['images/page_64_image_1.jpeg'],"{'page': 64, 'text': '', 'text_available': False, 'image_count': 1}"
65,,['images/page_65_image_1.jpeg'],"{'page': 65, 'text': '', 'text_available': False, 'image_count': 1}"
66,,['images/page_66_image_1.jpeg'],"{'page': 66, 'text': '', 'text_available': False, 'image_count': 1}"
67,,['images/page_67_image_1.jpeg'],"{'page': 67, 'text': '', 'text_available': False, 'image_count': 1}"
68,,['images/page_68_image_1.jpeg'],"{'page': 68, 'text': '', 'text_available': False, 'image_count': 1}"
69,,['images/page_69_image_1.jpeg'],"{'page': 69, 'text': '', 'text_available': False, 'image_count': 1}"
70,,['images/page_70_image_1.jpeg'],"{'page': 70, 'text': '', 'text_available': False, 'image_count': 1}"
71,,['images/page_71_image_1.jpeg'],"{'page': 71, 'text': '', 'text_available': False, 'image_count': 1}"
72,,['images/page_72_image_1.jpeg'],"{'page': 72, 'text': '', 'text_available': False, 'image_count': 1}"
73,,['images/page_73_image_1.jpeg'],"{'page': 73, 'text': '', 'text_available': False, 'image_count': 1}"
74,,['images/page_74_image_1.jpeg'],"{'page': 74, 'text': '', 'text_available': False, 'image_count': 1}"
75,,['images/page_75_image_1.jpeg'],"{'page': 75, 'text': '', 'text_available': False, 'image_count': 1}"
76,,['images/page_76_image_1.jpeg'],"{'page': 76, 'text': '', 'text_available': False, 'image_count': 1}"
77,,['images/page_77_image_1.jpeg'],"{'page': 77, 'text': '', 'text_available': False, 'image_count': 1}"
78,,['images/page_78_image_1.jpeg'],"{'page': 78, 'text': '', 'text_available': False, 'image_count': 1}"
79,,['images/page_79_image_1.jpeg'],"{'page': 79, 'text': '', 'text_available': False, 'image_count': 1}"
80,,['images/page_80_image_1.jpeg'],"{'page': 80, 'text': '', 'text_available': False, 'image_count': 1}"
81,,['images/page_81_image_1.jpeg'],"{'page': 81, 'text': '', 'text_available': False, 'image_count': 1}"
82,,['images/page_82_image_1.jpeg'],"{'page': 82, 'text': '', 'text_available': False, 'image_count': 1}"
83,,['images/page_83_image_1.jpeg'],"{'page': 83, 'text': '', 'text_available': False, 'image_count': 1}"
84,,['images/page_84_image_1.jpeg'],"{'page': 84, 'text': '', 'text_available': False, 'image_count': 1}"
85,,['images/page_85_image_1.jpeg'],"{'page': 85, 'text': '', 'text_available': False, 'image_count': 1}"
86,,['images/page_86_image_1.jpeg'],"{'page': 86, 'text': '', 'text_available': False, 'image_count': 1}"
87,,['images/page_87_image_1.jpeg'],"{'page': 87, 'text': '', 'text_available': False, 'image_count': 1}"
88,,['images/page_88_image_1.jpeg'],"{'page': 88, 'text': '', 'text_available': False, 'image_count': 1}"
89,,['images/page_89_image_1.jpeg'],"{'page': 89, 'text': '', 'text_available': False, 'image_count': 1}"
90,,['images/page_90_image_1.jpeg'],"{'page': 90, 'text': '', 'text_available': False, 'image_count': 1}"
91,,['images/page_91_image_1.jpeg'],"{'page': 91, 'text': '', 'text_available': False, 'image_count': 1}"
92,,['images/page_92_image_1.jpeg'],"{'page': 92, 'text': '', 'text_available': False, 'image_count': 1}"
93,,['images/page_93_image_1.jpeg'],"{'page': 93, 'text': '', 'text_available': False, 'image_count': 1}"
94,,['images/page_94_image_1.jpeg'],"{'page': 94, 'text': '', 'text_available': False, 'image_count': 1}"
95,,['images/page_95_image_1.jpeg'],"{'page': 95, 'text': '', 'text_available': False, 'image_count': 1}"
96,,['images/page_96_image_1.jpeg'],"{'page': 96, 'text': '', 'text_available': False, 'image_count': 1}"
97,,['images/page_97_image_1.jpeg'],"{'page': 97, 'text': '', 'text_available': False, 'image_count': 1}"
98,,['images/page_98_image_1.jpeg'],"{'page': 98, 'text': '', 'text_available': False, 'image_count': 1}"
99,,['images/page_99_image_1.jpeg'],"{'page': 99, 'text': '', 'text_available': False, 'image_count': 1}"
100,,['images/page_100_image_1.jpeg'],"{'page': 100, 'text': '', 'text_available': False, 'image_count': 1}"
101,,['images/page_101_image_1.jpeg'],"{'page': 101, 'text': '', 'text_available': False, 'image_count': 1}"
102,,['images/page_102_image_1.jpeg'],"{'page': 102, 'text': '', 'text_available': False, 'image_count': 1}"
103,,['images/page_103_image_1.jpeg'],"{'page': 103, 'text': '', 'text_available': False, 'image_count': 1}"
104,,['images/page_104_image_1.jpeg'],"{'page': 104, 'text': '', 'text_available': False, 'image_count': 1}"
105,,['images/page_105_image_1.jpeg'],"{'page': 105, 'text': '', 'text_available': False, 'image_count': 1}"
106,,['images/page_106_image_1.jpeg'],"{'page': 106, 'text': '', 'text_available': False, 'image_count': 1}"
107,,['images/page_107_image_1.jpeg'],"{'page': 107, 'text': '', 'text_available': False, 'image_count': 1}"
108,,['images/page_108_image_1.jpeg'],"{'page': 108, 'text': '', 'text_available': False, 'image_count': 1}"
109,,['images/page_109_image_1.jpeg'],"{'page': 109, 'text': '', 'text_available': False, 'image_count': 1}"
110,,['images/page_110_image_1.jpeg'],"{'page': 110, 'text': '', 'text_available': False, 'image_count': 1}"
111,,['images/page_111_image_1.jpeg'],"{'page': 111, 'text': '', 'text_available': False, 'image_count': 1}"
112,,['images/page_112_image_1.jpeg'],"{'page': 112, 'text': '', 'text_available': False, 'image_count': 1}"
113,,['images/page_113_image_1.jpeg'],"{'page': 113, 'text': '', 'text_available': False, 'image_count': 1}"
114,,['images/page_114_image_1.jpeg'],"{'page': 114, 'text': '', 'text_available': False, 'image_count': 1}"
115,,['images/page_115_image_1.jpeg'],"{'page': 115, 'text': '', 'text_available': False, 'image_count': 1}"
116,,['images/page_116_image_1.jpeg'],"{'page': 116, 'text': '', 'text_available': False, 'image_count': 1}"
117,,['images/page_117_image_1.jpeg'],"{'page': 117, 'text': '', 'text_available': False, 'image_count': 1}"
118,,['images/page_118_image_1.jpeg'],"{'page': 118, 'text': '', 'text_available': False, 'image_count': 1}"
119,,['images/page_119_image_1.jpeg'],"{'page': 119, 'text': '', 'text_available': False, 'image_count': 1}"
120,,['images/page_120_image_1.jpeg'],"{'page': 120, 'text': '', 'text_available': False, 'image_count': 1}"
121,,['images/page_121_image_1.jpeg'],"{'page': 121, 'text': '', 'text_available': False, 'image_count': 1}"
122,,['images/page_122_image_1.jpeg'],"{'page': 122, 'text': '', 'text_available': False, 'image_count': 1}"
123,,['images/page_123_image_1.jpeg'],"{'page': 123, 'text': '', 'text_available': False, 'image_count': 1}"
124,,['images/page_124_image_1.jpeg'],"{'page': 124, 'text': '', 'text_available': False, 'image_count': 1}"
125,,['images/page_125_image_1.jpeg'],"{'page': 125, 'text': '', 'text_available': False, 'image_count': 1}"
126,,['images/page_126_image_1.jpeg'],"{'page': 126, 'text': '', 'text_available': False, 'image_count': 1}"
127,,['images/page_127_image_1.jpeg'],"{'page': 127, 'text': '', 'text_available': False, 'image_count': 1}"
128,,['images/page_128_image_1.jpeg'],"{'page': 128, 'text': '', 'text_available': False, 'image_count': 1}"
129,,['images/page_129_image_1.jpeg'],"{'page': 129, 'text': '', 'text_available': False, 'image_count': 1}"
130,,['images/page_130_image_1.jpeg'],"{'page': 130, 'text': '', 'text_available': False, 'image_count': 1}"
131,,['images/page_131_image_1.jpeg'],"{'page': 131, 'text': '', 'text_available': False, 'image_count': 1}"
132,,['images/page_132_image_1.jpeg'],"{'page': 132, 'text': '', 'text_available': False, 'image_count': 1}"
133,,['images/page_133_image_1.jpeg'],"{'page': 133, 'text': '', 'text_available': False, 'image_count': 1}"
134,,['images/page_134_image_1.jpeg'],"{'page': 134, 'text': '', 'text_available': False, 'image_count': 1}"
135,,['images/page_135_image_1.jpeg'],"{'page': 135, 'text': '', 'text_available': False, 'image_count': 1}"
136,,['images/page_136_image_1.jpeg'],"{'page': 136, 'text': '', 'text_available': False, 'image_count': 1}"
137,,['images/page_137_image_1.jpeg'],"{'page': 137, 'text': '', 'text_available': False, 'image_count': 1}"
138,,['images/page_138_image_1.jpeg'],"{'page': 138, 'text': '', 'text_available': False, 'image_count': 1}"
139,,['images/page_139_image_1.jpeg'],"{'page': 139, 'text': '', 'text_available': False, 'image_count': 1}"
140,,['images/page_140_image_1.jpeg'],"{'page': 140, 'text': '', 'text_available': False, 'image_count': 1}"
141,,['images/page_141_image_1.jpeg'],"{'page': 141, 'text': '', 'text_available': False, 'image_count': 1}"
142,,['images/page_142_image_1.jpeg'],"{'page': 142, 'text': '', 'text_available': False, 'image_count': 1}"
143,,['images/page_143_image_1.jpeg'],"{'page': 143, 'text': '', 'text_available': False, 'image_count': 1}"
144,,['images/page_144_image_1.jpeg'],"{'page': 144, 'text': '', 'text_available': False, 'image_count': 1}"
145,,['images/page_145_image_1.jpeg'],"{'page': 145, 'text': '', 'text_available': False, 'image_count': 1}"
146,,['images/page_146_image_1.jpeg'],"{'page': 146, 'text': '', 'text_available': False, 'image_count': 1}"
147,,['images/page_147_image_1.jpeg'],"{'page': 147, 'text': '', 'text_available': False, 'image_count': 1}"
148,,['images/page_148_image_1.jpeg'],"{'page': 148, 'text': '', 'text_available': False, 'image_count': 1}"
149,,['images/page_149_image_1.jpeg'],"{'page': 149, 'text': '', 'text_available': False, 'image_count': 1}"
150,,['images/page_150_image_1.jpeg'],"{'page': 150, 'text': '', 'text_available': False, 'image_count': 1}"
151,,['images/page_151_image_1.jpeg'],"{'page': 151, 'text': '', 'text_available': False, 'image_count': 1}"
152,,['images/page_152_image_1.jpeg'],"{'page': 152, 'text': '', 'text_available': False, 'image_count': 1}"
